image,Shape,length,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y
0000.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0001.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0002.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0003.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0004.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0005.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0006.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0007.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0008.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0009.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0010.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0011.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0012.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0013.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0014.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0015.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0016.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0017.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0018.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0019.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0020.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0021.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0022.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0023.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0024.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0025.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0026.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0027.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0028.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0029.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
0030.jpg,Rectangle,130.1421353816986,457,196,461,221,499,220,495,195
