image,shape,length,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y
0000.jpg,Triangle,354.575682759285,928,645,833,699,911,767,,
0000.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0001.jpg,Triangle,351.74725580215454,926,645,832,699,909,766,,
0001.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0002.jpg,Triangle,355.16146743297577,927,645,831,699,909,767,,
0002.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0003.jpg,Triangle,353.1614679098129,925,645,831,698,907,766,,
0003.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0004.jpg,Triangle,353.74725568294525,926,646,830,699,907,767,,
0004.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0005.jpg,Triangle,352.81832361221313,924,646,829,699,905,767,,
0005.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0006.jpg,Triangle,354.81832361221313,925,646,828,699,904,767,,
0006.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0007.jpg,Triangle,353.98989629745483,924,646,827,699,903,767,,
0007.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0008.jpg,Triangle,354.8183242082596,923,646,826,699,901,767,,
0008.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0009.jpg,Triangle,356.4751787185669,922,646,825,699,901,768,,
0009.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0010.jpg,Triangle,354.2325367927551,921,647,824,699,899,768,,
0010.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0011.jpg,Triangle,354.8183242082596,921,647,823,699,898,768,,
0011.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0012.jpg,Triangle,356.23253667354584,920,647,822,699,896,768,,
0012.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0013.jpg,Triangle,355.6467510461807,919,647,821,699,896,768,,
0013.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0014.jpg,Triangle,356.7178200483322,918,647,820,699,894,769,,
0014.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0015.jpg,Triangle,356.8183240890503,918,648,819,699,892,769,,
0015.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0016.jpg,Triangle,357.54624581336975,916,647,818,699,891,769,,
0016.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0017.jpg,Triangle,355.0609654188156,916,649,817,699,890,770,,
0017.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0018.jpg,Triangle,355.64675068855286,914,648,816,699,888,769,,
0018.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0019.jpg,Triangle,356.4751763343811,913,648,815,699,887,770,,
0019.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0020.jpg,Triangle,357.8893929719925,912,648,813,699,884,769,,
0020.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0021.jpg,Triangle,358.1320307254791,911,648,812,699,884,770,,
0021.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0022.jpg,Triangle,355.8893905878067,911,649,811,699,882,770,,
0022.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0023.jpg,Triangle,358.4751807451248,910,649,809,699,880,770,,
0023.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0024.jpg,Triangle,358.71781969070435,909,649,808,699,879,771,,
0024.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0025.jpg,Triangle,355.8893893957138,907,649,807,699,877,770,,
0025.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0026.jpg,Triangle,355.889390707016,906,650,805,699,875,770,,
0026.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0027.jpg,Triangle,360.818323135376,905,650,804,699,874,771,,
0027.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0028.jpg,Triangle,359.3036025762558,904,650,802,700,872,771,,
0028.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0029.jpg,Triangle,354.7178153991699,902,650,801,699,870,770,,
0029.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0030.jpg,Triangle,356.132031917572,901,650,799,700,869,770,,
0030.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0031.jpg,Triangle,355.88939094543457,900,651,799,698,867,771,,
0031.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0032.jpg,Triangle,361.3036035299301,899,650,796,700,865,771,,
0032.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0033.jpg,Triangle,356.47517693042755,896,651,795,699,863,771,,
0033.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0034.jpg,Triangle,361.44574105739594,895,650,793,700,862,772,,
0034.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0035.jpg,Triangle,358.960458278656,894,651,792,699,860,772,,
0035.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0036.jpg,Triangle,358.9604594707489,892,650,790,700,858,771,,
0036.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0037.jpg,Triangle,359.30360662937164,891,651,788,700,856,771,,
0037.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0038.jpg,Triangle,359.30360555648804,889,651,787,699,854,772,,
0038.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0039.jpg,Triangle,356.7178177833557,887,652,785,700,853,772,,
0039.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0040.jpg,Triangle,361.5462440252304,886,651,783,700,850,772,,
0040.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0041.jpg,Triangle,358.1320321559906,884,652,782,699,849,772,,
0041.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0042.jpg,Triangle,360.13203382492065,883,651,780,699,846,772,,
0042.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0043.jpg,Triangle,361.54624462127686,881,651,778,700,844,772,,
0043.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0044.jpg,Triangle,360.9604563713074,879,651,776,700,842,772,,
0044.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0045.jpg,Triangle,359.3036059141159,878,652,775,699,840,772,,
0045.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0046.jpg,Triangle,358.13203263282776,875,652,773,699,838,772,,
0046.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0047.jpg,Triangle,359.54624569416046,874,652,771,699,836,772,,
0047.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0048.jpg,Triangle,359.54624581336975,873,652,769,700,834,772,,
0048.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0049.jpg,Triangle,362.3746728897095,871,652,767,700,832,772,,
0049.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0050.jpg,Triangle,355.88939106464386,869,653,765,700,828,770,,
0050.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0051.jpg,Triangle,361.7888879776001,867,652,763,700,829,773,,
0051.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0052.jpg,Triangle,357.5462455749512,865,652,761,700,824,770,,
0052.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0053.jpg,Triangle,360.96046102046967,863,652,759,700,824,772,,
0053.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0054.jpg,Triangle,363.54624569416046,861,652,758,699,822,773,,
0054.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0055.jpg,Triangle,361.3036050796509,860,652,756,699,820,772,,
0055.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0056.jpg,Triangle,362.1320323944092,858,652,754,699,818,773,,
0056.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0057.jpg,Triangle,361.303603887558,856,653,752,699,816,773,,
0057.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0058.jpg,Triangle,360.132031083107,854,652,750,699,812,771,,
0058.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0059.jpg,Triangle,359.30360448360443,852,652,748,699,809,770,,
0059.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0060.jpg,Triangle,367.78888618946075,850,652,746,699,810,773,,
0060.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0061.jpg,Triangle,359.54624474048615,848,652,744,699,805,770,,
0061.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0062.jpg,Triangle,358.7178181409836,846,652,742,699,803,770,,
0062.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0063.jpg,Triangle,359.7888855934143,844,652,739,700,801,770,,
0063.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0064.jpg,Triangle,364.3746725320816,842,652,737,700,801,773,,
0064.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0065.jpg,Triangle,366.6173127889633,840,652,735,700,798,772,,
0065.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0066.jpg,Triangle,360.1320309638977,838,653,733,700,797,772,,
0066.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0067.jpg,Triangle,358.7178167104721,836,653,731,700,793,771,,
0067.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0068.jpg,Triangle,358.9604586362839,834,653,729,700,790,770,,
0068.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0069.jpg,Triangle,364.13203155994415,832,653,727,699,790,773,,
0069.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0070.jpg,Triangle,365.5462454557419,830,652,725,699,788,773,,
0070.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0071.jpg,Triangle,358.71781849861145,828,652,723,699,784,770,,
0071.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0072.jpg,Triangle,363.2030988931656,825,652,720,700,784,773,,
0072.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0073.jpg,Triangle,362.3746726512909,823,652,719,699,782,773,,
0073.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0074.jpg,Triangle,360.7178192138672,821,653,717,699,780,773,,
0074.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0075.jpg,Triangle,360.9604585170746,819,653,714,700,778,773,,
0075.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0076.jpg,Triangle,362.96045792102814,817,652,712,700,775,773,,
0076.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0077.jpg,Triangle,362.374672293663,814,652,710,699,774,773,,
0077.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0078.jpg,Triangle,363.546245098114,812,652,708,699,771,773,,
0078.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0079.jpg,Triangle,357.5462443828583,810,652,706,699,767,770,,
0079.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0080.jpg,Triangle,364.6173131465912,808,652,703,700,767,773,,
0080.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0081.jpg,Triangle,362.9604585170746,806,652,701,700,765,773,,
0081.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0082.jpg,Triangle,362.9604594707489,804,652,699,700,763,773,,
0082.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0083.jpg,Triangle,362.3746724128723,802,652,697,700,761,773,,
0083.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0084.jpg,Triangle,361.54624605178833,800,652,695,700,758,772,,
0084.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0085.jpg,Triangle,362.9604581594467,798,652,693,699,757,773,,
0085.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0086.jpg,Triangle,362.9604581594467,796,652,691,699,755,773,,
0086.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0087.jpg,Triangle,363.78888499736786,793,651,689,699,753,773,,
0087.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0088.jpg,Triangle,361.78888523578644,791,652,686,700,750,772,,
0088.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0089.jpg,Triangle,360.9604583978653,789,652,684,700,749,772,,
0089.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0090.jpg,Triangle,362.3746727705002,787,651,682,700,747,772,,
0090.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0091.jpg,Triangle,362.37467193603516,785,651,680,700,745,772,,
0091.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0092.jpg,Triangle,362.3746728897095,783,651,678,700,743,772,,
0092.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0093.jpg,Triangle,360.9604573249817,780,651,676,700,741,772,,
0093.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0094.jpg,Triangle,362.61731231212616,778,651,674,700,739,772,,
0094.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0095.jpg,Triangle,361.2031012773514,776,651,672,700,737,771,,
0095.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0096.jpg,Triangle,360.3746727705002,774,651,670,700,735,771,,
0096.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0097.jpg,Triangle,362.37467324733734,772,650,668,700,733,771,,
0097.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0098.jpg,Triangle,364.03152775764465,770,650,666,700,732,772,,
0098.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0099.jpg,Triangle,360.6173150539398,768,650,664,700,730,771,,
0099.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0100.jpg,Triangle,362.374675154686,767,650,662,700,728,771,,
0100.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0101.jpg,Triangle,361.7888869047165,765,650,660,700,726,771,,
0101.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0102.jpg,Triangle,359.7888870239258,762,650,658,700,724,770,,
0102.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0103.jpg,Triangle,361.7888869047165,760,649,657,699,723,771,,
0103.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0104.jpg,Triangle,360.37467300891876,758,649,655,699,721,770,,
0104.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0105.jpg,Triangle,360.6173139810562,756,649,653,699,719,770,,
0105.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0106.jpg,Triangle,360.61731231212616,754,649,651,700,718,770,,
0106.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0107.jpg,Triangle,359.78888463974,752,649,649,700,716,770,,
0107.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0108.jpg,Triangle,362.37467432022095,751,649,647,700,715,771,,
0108.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
0109.jpg,Triangle,360.13203370571136,749,649,646,699,713,770,,
0109.jpg,Rectangle,350.87005722522736,1220,522,1227,590,1332,589,1322,521
